Project Code,PA/NF Status,Model Name,Model Family,Platform,Platform Group,Fuel Type,Fuel Type Group,Build Type,OEM,Brand,Segment,Body Type,SSS,Brand Indicator,YEAR, Volume(simulation) ,Volume Property,PR Status,SOP Time,EOP Time,Model Family SOP,Model Family EOP,Volume Level,C6 Premises,Cloud Info,Remark
VW226/0CN_K,NF,Tacqua NF,Tacqua,MQB 27 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2025," 92,290 ",AaK,PR66.SP,2024/7/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW226/0CN_K,NF,Tacqua NF,Tacqua,MQB 27 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2026," 91,320 ",AaK,PR66.SP,2024/7/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW226/0CN_K,NF,Tacqua NF,Tacqua,MQB 27 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2027," 75,642 ",AaK,PR66.SP,2024/7/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K,NF,T-Roc LWB,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2017," 198,572 ",AaK,PR66.SP,1900/1/0,2019/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K,NF,T-Roc LWB,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2018," 154,035 ",AaK,PR66.SP,1900/1/0,2019/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K,NF,T-Roc LWB,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2019," 92,142 ",AaK,PR66.SP,1900/1/0,2019/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K1,PA,T-Roc LWB PA,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2019," 74,816 ",AaK,PR66.SP,2019/4/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K1,PA,T-Roc LWB PA,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2020," 187,000 ",AaK,PR66.SP,2019/4/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K1,PA,T-Roc LWB PA,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2021," 134,973 ",AaK,PR66.SP,2019/4/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW276/0CN_K1,PA,T-Roc LWB PA,T-Roc,MQB 37 SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2022," 112,568 ",AaK,PR66.SP,2019/4/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K,NF,T-Roc LWB NF,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2022," 67,953 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K,NF,T-Roc LWB NF,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2023," 160,449 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K,NF,T-Roc LWB NF,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2024," 164,162 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K,NF,T-Roc LWB NF,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2025," 141,875 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K,NF,T-Roc LWB NF,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2026," 113,509 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K1,PA,T-Roc LWB NF PA,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2026," 81,323 ",AaK,PR66.SP,2026/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW286/0CN_K1,PA,T-Roc LWB NF PA,T-Roc,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Main,Volume,2027," 139,786 ",AaK,PR66.SP,2026/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW320/5CN_K1,PA,C-Trek PA,C-Trek,PQ 34L,PQ,ICE,ICE,CKD,FAW-VW,VW,A,Hatchback,Main,Volume,2017," 24,246 ",AaK,PR66.SP,1900/1/0,2017/3/1,,,Vol.  Level,KAK0119,,
VW321/5CN_K,NF,Bora NF (Classic),Bora,PQ 34L,PQ,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2017," 122,089 ",AaK,PR66.SP,1900/1/0,2019/12/1,,,Vol.  Level,KAK0119,,
VW321/5CN_K,NF,Bora NF (Classic),Bora,PQ 34L,PQ,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2018," 106,937 ",AaK,PR66.SP,1900/1/0,2019/12/1,,,Vol.  Level,KAK0119,,
VW321/5CN_K,NF,Bora NF (Classic),Bora,PQ 34L,PQ,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2019," 117,655 ",AaK,PR66.SP,1900/1/0,2019/12/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K,NF,Bora MQB ,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2017," 301,366 ",AaK,PR66.SP,1900/1/0,2019/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K,NF,Bora MQB ,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2018," 274,498 ",AaK,PR66.SP,1900/1/0,2019/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K,NF,Bora MQB ,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2019," 124,125 ",AaK,PR66.SP,1900/1/0,2019/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K1,PA,Bora MQB PA,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2019," 129,615 ",AaK,PR66.SP,2019/3/1,2022/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K1,PA,Bora MQB PA,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2020," 247,920 ",AaK,PR66.SP,2019/3/1,2022/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K1,PA,Bora MQB PA,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2021," 234,965 ",AaK,PR66.SP,2019/3/1,2022/3/1,,,Vol.  Level,KAK0119,,
VW331/5CN_K1,PA,Bora MQB PA,Bora,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2022," 143,033 ",AaK,PR66.SP,2019/3/1,2022/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K,NF,Bora MQB NF,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2022," 140,073 ",AaK,PR66.SP,2022/3/1,2026/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K,NF,Bora MQB NF,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2023," 213,571 ",AaK,PR66.SP,2022/3/1,2026/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K,NF,Bora MQB NF,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2024," 256,449 ",AaK,PR66.SP,2022/3/1,2026/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K,NF,Bora MQB NF,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2025," 239,182 ",AaK,PR66.SP,2022/3/1,2026/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K,NF,Bora MQB NF,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2026," 132,725 ",AaK,PR66.SP,2022/3/1,2026/3/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K1,PA,Bora MQB NF PA,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2026," 142,717 ",AaK,PR66.SP,2026/3/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW341/5CN_K1,PA,Bora MQB NF PA,Bora,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Main,Volume,2027," 171,534 ",AaK,PR66.SP,2026/3/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K,NF,Tayron,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2017," 219,100 ",AaK,PR66.SP,1900/1/0,2019/5/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K,NF,Tayron,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2018," 213,212 ",AaK,PR66.SP,1900/1/0,2019/5/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K,NF,Tayron,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2019," 143,697 ",AaK,PR66.SP,1900/1/0,2019/5/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K1,PA,Tayron PA,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2019," 78,410 ",AaK,PR66.SP,2019/5/1,2021/4/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K1,PA,Tayron PA,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2020," 199,921 ",AaK,PR66.SP,2019/5/1,2021/4/1,,,Vol.  Level,KAK0119,,
VW326/3CN_K1,PA,Tayron PA,Tayron,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2021," 157,286 ",AaK,PR66.SP,2019/5/1,2021/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K,NF,Tayron NF,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2021," 84,255 ",AaK,PR66.SP,2021/4/1,2025/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K,NF,Tayron NF,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2022," 254,326 ",AaK,PR66.SP,2021/4/1,2025/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K,NF,Tayron NF,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2023," 231,351 ",AaK,PR66.SP,2021/4/1,2025/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K,NF,Tayron NF,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2024," 211,776 ",AaK,PR66.SP,2021/4/1,2025/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K,NF,Tayron NF,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2025," 130,380 ",AaK,PR66.SP,2021/4/1,2025/4/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K1,PA,Tayron NF PA,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2025," 112,242 ",AaK,PR66.SP,2025/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K1,PA,Tayron NF PA,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2026," 171,389 ",AaK,PR66.SP,2025/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW336/3CN_K1,PA,Tayron NF PA,Tayron,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2027," 220,869 ",AaK,PR66.SP,2025/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K,NF,Tayron Coupe,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2017," 70,259 ",AaK,PR66.SP,2017/3/1,2019/6/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K,NF,Tayron Coupe,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2018," 73,476 ",AaK,PR66.SP,2017/3/1,2019/6/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K,NF,Tayron Coupe,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2019," 88,040 ",AaK,PR66.SP,2017/3/1,2019/6/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K1,PA,Tayron Coupe PA,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2019," 37,058 ",AaK,PR66.SP,2019/6/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K1,PA,Tayron Coupe PA,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2020," 104,197 ",AaK,PR66.SP,2019/6/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K1,PA,Tayron Coupe PA,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2021," 73,510 ",AaK,PR66.SP,2019/6/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW326/4CN_K1,PA,Tayron Coupe PA,Tayron Coupe,MQB 37A SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2022," 47,549 ",AaK,PR66.SP,2019/6/1,2022/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K,NF,Tayron Coupe NF,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2022," 42,281 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K,NF,Tayron Coupe NF,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2023," 64,335 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K,NF,Tayron Coupe NF,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2024," 78,106 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K,NF,Tayron Coupe NF,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2025," 109,860 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K,NF,Tayron Coupe NF,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2026," 49,766 ",AaK,PR66.SP,2022/4/1,2026/4/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K1,PA,Tayron Coupe NF PA,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2026," 75,092 ",AaK,PR66.SP,2026/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW336/4CN_K1,PA,Tayron Coupe NF PA,Tayron Coupe,MQB 37A (W) SUV,MQB,ICE,ICE,CKD,FAW-VW,VW,A,SUV/CUV,Plus,Volume,2027," 102,001 ",AaK,PR66.SP,2026/4/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K,NF,B SMV,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2018," 77,868 ",AaK,PR66.SP,2017/11/1,2020/8/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K,NF,B SMV,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2019," 127,184 ",AaK,PR66.SP,2017/11/1,2020/8/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K,NF,B SMV,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2020," 99,822 ",AaK,PR66.SP,2017/11/1,2020/8/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K1,PA,B SMV PA,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2020," 33,314 ",AaK,PR66.SP,2020/8/1,2023/2/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K1,PA,B SMV PA,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2021," 101,569 ",AaK,PR66.SP,2020/8/1,2023/2/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K1,PA,B SMV PA,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2022," 91,351 ",AaK,PR66.SP,2020/8/1,2023/2/1,,,Vol.  Level,KAK0119,,
VW416/2CN_K1,PA,B SMV PA,B SMV,MQB 41B,MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2023," 48,339 ",AaK,PR66.SP,2020/8/1,2023/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K,NF,B SMV NF,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2023," 73,716 ",AaK,PR66.SP,2023/2/1,2027/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K,NF,B SMV NF,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2024," 120,533 ",AaK,PR66.SP,2023/2/1,2027/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K,NF,B SMV NF,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2025," 83,621 ",AaK,PR66.SP,2023/2/1,2027/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K,NF,B SMV NF,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2026," 130,066 ",AaK,PR66.SP,2023/2/1,2027/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K,NF,B SMV NF,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2027," 84,846 ",AaK,PR66.SP,2023/2/1,2027/2/1,,,Vol.  Level,KAK0119,,
VW426/2CN_K1,PA,B SMV NF PA,B SMV,MQB 41B (W),MQB,ICE,ICE,CKD,FAW-VW,VW,B,SUV/CUV,Plus,Volume,2027," 99,604 ",AaK,PR66.SP,2027/2/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K,NF,Sagitar MQB,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2017," 341,643 ",AaK,PR66.SP,1900/1/0,2019/1/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K,NF,Sagitar MQB,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2018," 284,129 ",AaK,PR66.SP,1900/1/0,2019/1/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K,NF,Sagitar MQB,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2019," 128,242 ",AaK,PR66.SP,1900/1/0,2019/1/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K1,PA,Sagitar MQB PA,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2019," 189,831 ",AaK,PR66.SP,2019/1/1,2021/9/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K1,PA,Sagitar MQB PA,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2020," 264,302 ",AaK,PR66.SP,2019/1/1,2021/9/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K1,PA,Sagitar MQB PA,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2021," 247,163 ",AaK,PR66.SP,2019/1/1,2021/9/1,,,Vol.  Level,KAK0119,,
VW371/0CN_K1,PA,Sagitar MQB PA,Sagitar,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2022," 84,103 ",AaK,PR66.SP,2019/1/1,2021/9/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K,NF,Sagitar MQB New Hut,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2021," 37,363 ",AaK,PR66.SP,2021/9/1,2025/6/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K,NF,Sagitar MQB New Hut,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2022," 253,639 ",AaK,PR66.SP,2021/9/1,2025/6/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K,NF,Sagitar MQB New Hut,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2023," 295,916 ",AaK,PR66.SP,2021/9/1,2025/6/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K,NF,Sagitar MQB New Hut,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2024," 264,177 ",AaK,PR66.SP,2021/9/1,2025/6/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K,NF,Sagitar MQB New Hut,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2025," 209,447 ",AaK,PR66.SP,2021/9/1,2025/6/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K1,PA,Sagitar MQB New Hut PA,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2025," 56,285 ",AaK,PR66.SP,2025/6/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K1,PA,Sagitar MQB New Hut PA,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2026," 273,975 ",AaK,PR66.SP,2025/6/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW381/0CN_K1,PA,Sagitar MQB New Hut PA,Sagitar,MQB 37 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A,Sedan,Plus,Volume,2027," 278,203 ",AaK,PR66.SP,2025/6/1,2099/12/1,,,Vol.  Level,KAK0119,,
VW370/0CN_K1,PA,Golf A7 PA,Golf,MQB 37,MQB,ICE,ICE,CKD,FAW-VW,VW,A,Hatchback,Plus,Volume,2017," 141,146 ",AaK,PR66.SP,1900/1/0,2017/8/1,,,Vol.  Level,KAK0119,,
